Timestamp,Time_Elapsed(s),SoC(%),Voltage(V),Temperature(°C),Power(W),Current(A),SoH(%),Cycle_Count,EIS_Impedance(mΩ),Internal_Resistance(mΩ),Load_Profile
2025-05-31 18:50:36,1,100.00,4.200,17.8,0.00,0.00,100.00,0,6.0,90.0,Drone Flight
2025-05-31 18:50:37,2,100.00,3.398,17.4,30.27,8.91,100.00,0,6.0,90.0,Drone Flight
2025-05-31 18:50:38,3,100.00,2.999,16.1,40.02,13.35,100.00,0,6.2,90.0,Drone Flight
2025-05-31 18:50:39,4,100.00,2.787,18.2,43.76,15.70,100.00,0,5.9,90.0,Drone Flight
2025-05-31 18:50:40,5,99.99,2.637,15.0,45.80,17.37,100.00,0,6.4,90.0,Drone Flight
2025-05-31 18:50:41,6,99.99,2.358,18.1,48.26,20.47,100.00,0,5.9,90.0,Drone Flight
2025-05-31 18:50:42,7,88.80,3.009,15.5,49.94,16.60,100.00,0,6.3,65.0,Drone Flight
2025-05-31 18:50:43,8,89.16,3.002,19.1,50.32,16.76,100.00,0,5.8,65.0,Drone Flight
2025-05-31 18:50:44,9,73.00,3.419,15.5,35.50,10.38,100.00,0,6.3,50.0,Drone Flight
2025-05-31 18:50:45,10,73.85,3.402,17.2,36.79,10.81,100.00,0,6.1,50.0,Drone Flight
2025-05-31 18:50:46,11,67.26,3.505,17.2,27.96,7.98,100.00,0,6.1,50.0,Drone Flight
2025-05-31 18:50:47,12,63.60,3.556,16.2,23.14,6.51,100.00,0,6.2,50.0,Drone Flight
2025-05-31 18:50:48,13,58.63,3.631,19.1,16.04,4.42,100.00,0,5.8,50.0,Drone Flight
2025-05-31 18:50:49,14,52.85,3.716,14.2,7.49,2.02,100.00,0,6.5,50.0,Drone Flight
2025-05-31 18:50:50,15,48.18,3.789,14.3,0.00,0.00,100.00,0,6.5,50.0,Drone Flight
2025-05-31 18:50:51,16,47.91,3.787,17.4,0.00,0.00,100.00,0,6.0,50.0,Drone Flight
2025-05-31 18:50:52,17,60.77,3.500,18.1,25.51,7.29,100.00,0,5.9,50.0,Drone Flight
2025-05-31 18:50:53,18,67.50,3.339,16.9,37.77,11.31,100.00,0,6.1,50.0,Drone Flight
2025-05-31 18:50:54,19,76.28,2.852,14.2,63.36,22.21,100.00,0,6.5,50.0,Drone Flight
2025-05-31 18:50:55,20,71.35,2.929,14.7,58.53,19.98,100.00,0,6.4,50.0,Drone Flight
2025-05-31 18:50:56,21,72.40,2.907,19.7,59.74,20.55,100.00,0,5.7,50.0,Drone Flight
2025-05-31 18:50:57,22,65.22,3.018,19.8,52.73,17.47,100.00,0,5.7,50.0,Drone Flight
