Timestamp,Time_Elapsed(s),SoC(%),Voltage(V),SoH(%),Cycle_Count
2025-05-31 17:30:27,1,100.00,3.700,100.00,0
2025-05-31 17:30:28,2,99.99,3.700,100.00,0
2025-05-31 17:30:29,3,99.99,3.700,100.00,0
2025-05-31 17:30:30,4,99.99,3.700,100.00,0
2025-05-31 17:30:31,5,99.98,3.700,100.00,0
2025-05-31 17:30:32,6,99.98,3.700,100.00,0
2025-05-31 17:30:33,7,99.97,3.700,100.00,0
2025-05-31 17:30:34,8,99.97,3.700,100.00,0
2025-05-31 17:30:35,9,99.97,3.700,100.00,0
2025-05-31 17:30:36,10,99.96,3.700,99.90,1
