Timestamp,Time_Elapsed(s),SoC(%),Voltage(V),Temperature(°C),Power(W),Current(A),SoH(%),Cycle_Count,EIS_Impedance(mΩ),Internal_Resistance(mΩ),Load_Profile
2025-05-31 18:30:21,1,100.00,2.716,16.5,44.78,16.48,100.00,0,6.2,90.0,EV City Driving
2025-05-31 18:30:22,2,100.00,2.300,18.9,57.51,25.00,100.00,0,5.8,90.0,EV City Driving
2025-05-31 18:30:23,3,99.99,2.300,14.9,79.10,34.39,100.00,0,6.4,90.0,EV City Driving
2025-05-31 18:30:24,4,99.99,2.300,19.0,112.52,48.92,100.00,0,5.8,90.0,EV City Driving
2025-05-31 18:30:25,5,99.98,2.300,17.6,65.67,28.55,100.00,0,6.0,90.0,EV City Driving
2025-05-31 18:30:26,6,99.87,2.313,18.1,48.46,20.96,100.00,0,5.9,90.0,EV City Driving
2025-05-31 18:30:27,7,74.67,3.285,16.4,43.56,13.26,100.00,0,6.2,50.0,EV City Driving
2025-05-31 18:30:28,8,65.12,3.445,17.0,30.73,8.92,100.00,0,6.1,50.0,EV City Driving
2025-05-31 18:30:29,9,74.61,3.086,14.4,53.18,17.23,100.00,0,6.5,50.0,EV City Driving
2025-05-31 18:30:30,10,81.49,2.300,16.0,97.82,42.53,100.00,0,6.2,65.0,EV City Driving
2025-05-31 18:30:31,11,86.49,2.300,18.1,113.87,49.51,100.00,0,5.9,65.0,EV City Driving
2025-05-31 18:30:32,12,78.56,2.800,14.5,66.38,23.71,100.00,0,6.5,50.0,EV City Driving
2025-05-31 18:30:33,13,59.77,3.168,17.7,43.77,13.82,100.00,0,6.0,50.0,EV City Driving
2025-05-31 18:30:34,14,48.15,3.353,16.7,29.24,8.72,100.00,0,6.1,50.0,EV City Driving
2025-05-31 18:30:35,15,40.06,3.491,19.0,17.41,4.99,100.00,0,5.8,50.0,EV City Driving
2025-05-31 18:30:36,16,56.25,3.086,17.1,46.38,15.03,100.00,0,6.1,50.0,EV City Driving
2025-05-31 18:30:37,17,67.41,2.823,18.7,61.05,21.62,100.00,0,5.8,50.0,EV City Driving
2025-05-31 18:30:38,18,76.21,2.300,15.1,90.76,39.46,100.00,0,6.4,50.0,EV City Driving
2025-05-31 18:30:39,19,82.62,2.300,17.3,159.72,69.44,100.00,0,6.0,65.0,EV City Driving
2025-05-31 18:30:40,20,82.60,2.307,19.9,61.01,26.45,100.00,0,5.7,65.0,EV City Driving
2025-05-31 18:30:41,21,68.90,2.842,16.1,60.91,21.44,100.00,0,6.2,50.0,EV City Driving
2025-05-31 18:30:42,22,52.64,3.172,17.2,40.83,12.87,100.00,0,6.1,50.0,EV City Driving
