Timestamp,Time_Elapsed(s),SoC(%),Voltage(V),Temperature(°C),Power(W),Current(A),SoH(%),Cycle_Count,EIS_Impedance(mΩ),Internal_Resistance(mΩ),Load_Profile
2025-05-31 18:11:32,1,100.00,3.722,19.0,35.58,9.56,100.00,0,6.3,50.0,Grid Storage
2025-05-31 18:11:33,2,100.00,3.408,16.8,53.96,15.83,100.00,0,6.8,50.0,Grid Storage
2025-05-31 18:11:34,3,100.00,3.151,17.4,66.09,20.97,100.00,0,6.7,50.0,Grid Storage
2025-05-31 18:11:35,4,99.99,2.849,14.0,76.98,27.02,100.00,0,7.5,50.0,Grid Storage
2025-05-31 18:11:36,5,99.99,2.732,14.2,80.20,29.36,100.00,0,7.4,50.0,Grid Storage
2025-05-31 18:11:37,6,99.99,2.510,18.8,84.83,33.79,100.00,0,6.3,50.0,Grid Storage
2025-05-31 18:11:38,7,97.21,2.605,15.4,81.65,31.34,100.00,0,7.1,50.0,Grid Storage
2025-05-31 18:11:39,8,88.38,2.786,18.5,72.30,25.95,100.00,0,6.4,50.0,Grid Storage
2025-05-31 18:11:40,9,90.17,2.711,15.3,75.40,27.81,100.00,0,7.2,50.0,Grid Storage
2025-05-31 18:11:41,10,68.42,3.146,16.3,48.10,15.29,100.00,0,6.9,50.0,Grid Storage
2025-05-31 18:11:42,11,59.37,3.297,17.3,36.90,11.19,100.00,0,6.7,50.0,Grid Storage
2025-05-31 18:11:43,12,48.72,3.448,19.6,23.74,6.89,100.00,0,6.2,50.0,Grid Storage
2025-05-31 18:11:44,13,47.71,3.446,18.1,23.42,6.80,100.00,0,6.5,50.0,Grid Storage
2025-05-31 18:11:45,14,41.57,3.553,19.9,13.96,3.93,100.00,0,6.1,50.0,Grid Storage
2025-05-31 18:11:46,15,37.10,3.620,14.2,7.42,2.05,100.00,0,7.4,50.0,Grid Storage
2025-05-31 18:11:47,16,52.74,3.263,17.4,36.12,11.07,100.00,0,6.7,50.0,Grid Storage
2025-05-31 18:11:48,17,60.10,3.112,15.7,46.62,14.98,100.00,0,7.1,50.0,Grid Storage
2025-05-31 18:11:49,18,70.88,2.795,17.7,63.20,22.61,100.00,0,6.6,50.0,Grid Storage
2025-05-31 18:11:50,19,74.69,2.676,15.0,68.09,25.44,100.00,0,7.2,50.0,Grid Storage
2025-05-31 18:11:51,20,81.52,2.369,14.2,78.00,32.93,100.00,0,7.5,50.0,Grid Storage
2025-05-31 18:11:52,21,86.50,2.143,16.2,82.38,38.45,100.00,0,6.9,50.0,Grid Storage
2025-05-31 18:11:53,22,73.93,2.355,16.4,74.83,31.78,100.00,0,6.9,50.0,Grid Storage
2025-05-31 18:11:54,23,55.31,2.752,18.3,59.43,21.59,100.00,0,6.4,50.0,Grid Storage
2025-05-31 18:11:55,24,45.77,2.917,17.2,50.04,17.16,100.00,0,6.7,50.0,Grid Storage
2025-05-31 18:11:56,25,41.50,2.977,14.7,45.95,15.43,100.00,0,7.3,50.0,Grid Storage
2025-05-31 18:11:57,26,32.99,3.192,15.5,32.30,10.12,100.00,0,7.1,50.0,Grid Storage
2025-05-31 18:11:58,27,28.13,3.278,17.5,25.60,7.81,100.00,0,6.6,50.0,Grid Storage
2025-05-31 18:11:59,28,23.23,3.380,14.0,17.50,5.18,100.00,0,7.5,50.0,Grid Storage
2025-05-31 18:12:00,29,22.36,3.397,14.4,16.14,4.75,100.00,0,7.4,50.0,Grid Storage
2025-05-31 18:12:01,30,19.02,3.453,17.6,7.32,2.12,99.98,1,6.6,75.0,Grid Storage
2025-05-31 18:12:02,31,39.54,3.287,19.8,29.58,9.00,99.98,1,6.1,50.0,Grid Storage
2025-05-31 18:12:03,32,49.12,3.117,17.9,42.25,13.56,99.98,1,6.5,50.0,Grid Storage
2025-05-31 18:12:04,33,60.16,2.874,17.3,56.72,19.74,99.98,1,6.7,50.0,Grid Storage
2025-05-31 18:12:05,34,68.22,2.703,17.1,65.22,24.13,99.98,1,6.7,50.0,Grid Storage
2025-05-31 18:12:06,35,76.80,2.296,17.9,76.78,33.44,99.98,1,6.5,50.0,Grid Storage
2025-05-31 18:12:07,36,79.01,2.228,15.1,78.52,35.24,99.98,1,7.2,50.0,Grid Storage
2025-05-31 18:12:08,37,77.92,2.260,19.7,77.71,34.38,99.98,1,6.1,50.0,Grid Storage
2025-05-31 18:12:09,38,62.27,2.507,14.8,68.53,27.34,99.98,1,7.3,50.0,Grid Storage
2025-05-31 18:12:10,39,48.14,2.794,14.0,55.60,19.90,99.98,1,7.5,50.0,Grid Storage
2025-05-31 18:12:11,40,37.83,2.982,15.3,44.41,14.89,99.98,1,7.2,50.0,Grid Storage
2025-05-31 18:12:12,41,30.31,3.133,14.4,34.40,10.98,99.98,1,7.4,50.0,Grid Storage
2025-05-31 18:12:13,42,24.82,3.242,14.2,26.41,8.15,99.98,1,7.5,50.0,Grid Storage
